Contrato,Loja Loc.,Código Tarifa,Seg. Mercado,Regional,Filial,Loja Dev.,E/M,Data Ret.,Hora Ret.,Data Dev.,Hora Dev.,Placa,Grupo,Modelo,Tipo,Reab.,Data Reab.,Doc. Responsável Reab.,Responsável Reab.,Placa Desvinc.
28472321,BSB2,393694,OUTROS PF,CO  ,BSB ,BSB2,E,13/03/2026,06:47,18/03/2026,06:00,SWY3C29,EA ,POLO,HIGHLINE TSI AT 1.0,Nao,,,,Não,
28483794,BSB2,481839,OUTROS PF,CO  ,BSB ,BSB2,E,16/03/2026,10:14,18/03/2026,07:00,TDX0E31,SU ,PULSE,DRIVE AT 1.3 4P,Nao,,,,Não,
28483027,BSB2,417967,OTA,CO  ,BSB ,BSB2,E,16/03/2026,08:36,18/03/2026,08:00,TXE1G90,B  ,ARGO,DRIVE 1.0 4P,Nao,,,,Não,
28480616,BSB2,393694,OUTROS PF,CO  ,BSB ,GYN3,E,15/03/2026,08:12,18/03/2026,08:00,TXB9I82,SV ,CRETA,LIMITED TGDI AT 1.0,Nao,,,,Não,
28376548,BSB2,375061,MENSAL MAIS,CO  ,BSB ,BSB2,E,16/02/2026,08:32,18/03/2026,08:25,STU3J71,B  ,POLO,TRACK MPI 1.0 4P,Nao,,,,Não,
28473227,BSB2,393694,OUTROS PF,CO  ,BSB ,BSB2,E,13/03/2026,09:45,18/03/2026,09:00,TYP0J98,AM ,RENAULT KWID 1.0 INT,P,Nao,,,,Não,
28432921,BSB2,419540,AG,CO  ,BSB ,BSB2,E,03/03/2026,09:43,18/03/2026,09:00,TXK4I43,BS ,ONIX PLUS,LT MT 1.0 4P,Nao,,,,Não,
28484192,BSB2,393694,OUTROS PF,CO  ,BSB ,BSB2,E,16/03/2026,11:13,18/03/2026,10:00,SIS0E09,SG ,JEEP COMPASS,LONGITUDE,Nao,,,,Não,
28473953,BSB2,374288,OTA,CO  ,BSB ,BSB2,E,13/03/2026,12:44,18/03/2026,10:00,UBA3G96,B  ,CHEVROLET ONIX 1.0 5,P,Nao,,,,Não,
28477841,BSB2,417967,OTA,CO  ,BSB ,BSB2,E,14/03/2026,09:19,18/03/2026,10:00,TDC0B80,B  ,HB20,COMFORT MT 1.0 4P,Nao,,,,Não,
28483523,BSB2,493608,AG,CO  ,BSB ,BSB2,E,16/03/2026,09:40,18/03/2026,10:30,TXB4E85,BS ,ONIX PLUS,MT 1.0  4P,Nao,,,,Não,
28466031,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,11/03/2026,11:43,18/03/2026,11:30,TXN3J34,SU ,VOLKSWAGEN TERA 1.0,P,Nao,,,,Não,
28461905,BSB2,457710,AG,CO  ,BSB ,BSB2,E,10/03/2026,11:39,18/03/2026,11:38,TEU2F49,AM ,MOBI,TREKKING 1.0 4P,Nao,,,,Não,
28484493,BSB2,448292,AG,CO  ,BSB ,BSB2,E,16/03/2026,11:53,18/03/2026,12:00,TYP4J99,CA ,HYUNDAI HB20 1.0 T-G,P,Nao,,,,Não,
28474114,BSB2,481840,OUTROS PF,CO  ,BSB ,BSB2,E,13/03/2026,12:14,18/03/2026,12:00,TYJ0H16,BS ,ONIX PLUS,LT MT 1.0 4P,Nao,,,,Não,
28474172,BSB2,393694,OUTROS PF,CO  ,BSB ,BSB2,E,13/03/2026,12:25,18/03/2026,12:23,TCA4I41,B  ,HB20,SENSE PLUS 1.0 4P,Nao,,,,Não,
28479799,BSB2,488669,OTA,CO  ,BSB ,BSB2,E,14/03/2026,16:55,18/03/2026,13:00,TXD3D54,SU ,TERA,TSI AT,Nao,,,,Não,
28434435,BSB2,417338,REPLACEMENT,CO  ,BSB ,BSB2,E,03/03/2026,14:07,18/03/2026,13:00,SUU5G95,B  ,POLO,TRACK MPI 1.0 4P,Nao,,,,Não,
28377810,BSB2,375054,MENSAL MAIS,CO  ,BSB ,BSB2,E,16/02/2026,14:07,18/03/2026,13:30,UFY4J06,B  ,POLO,TRACK MPI 1.0 4P,Nao,,,,Não,
28474253,BSB2,345676,PARCERIA,CO  ,BSB ,BSB2,E,13/03/2026,12:40,18/03/2026,14:00,TYP0J87,AM ,RENAULT KWID 1.0 INT,P,Nao,,,,Não,
28481478,BSB2,493607,AG,CO  ,BSB ,BSB2,E,15/03/2026,14:52,18/03/2026,14:00,TXL2A33,SU ,FIAT PULSE 1.3 DRIVE,P,Nao,,,,Não,
28466773,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,11/03/2026,14:22,18/03/2026,14:02,UDJ9F99,SV ,VOLKSWAGEN T-CROSS 1,P,Nao,,,,Não,
